lat,lon,GroupCount,author_power,author_power_log10
44,-70,5,5,0.698970004336019
44,1,107,107,2.02938377768521
44,4,24,24,1.38021124171161
44,7,1,1,0
44,9,8,8,0.903089986991944
44,10,9,9,0.954242509439325
44,11,99,99,1.99563519459755
44,13,6,6,0.778151250383644
44,14,21,21,1.32221929473392
44,26,1,1,0
44,125,2,2,0.301029995663981
45,-123,14,14,1.14612803567824
45,-93,70,70,1.84509804001426
45,-76,106,106,2.02530586526477
45,-75,1,1,0
45,-74,12,12,1.07918124604762
45,-70,2,2,0.301029995663981
45,-69,1,1,0
45,-66,1,1,0
45,-64,9,9,0.954242509439325
45,-1,2,2,0.301029995663981
45,6,5,5,0.698970004336019
45,8,26,26,1.41497334797082
45,9,192,192,2.28330122870355
45,10,2,2,0.301029995663981
45,11,7,7,0.845098040014257
45,12,35,35,1.54406804435028
46,-123,3,3,0.477121254719662
46,-118,1,1,0
46,-111,12,12,1.07918124604762
46,-109,1,1,0
46,-96,1,1,0
46,-94,2,2,0.301029995663981
46,-74,76,76,1.88081359228079
46,3,8,8,0.903089986991944
46,5,17,17,1.23044892137827
46,6,14,14,1.14612803567824
46,9,21,21,1.32221929473392
46,10,27,27,1.43136376415899
46,11,30,30,1.47712125471966
46,13,2,2,0.301029995663981
46,14,4,4,0.602059991327962
46,21,3,3,0.477121254719662
46,26,1,1,0
46,127,5,5,0.698970004336019
47,-122,1,1,0
47,-117,3,3,0.477121254719662
47,-89,1,1,0
47,-2,6,6,0.778151250383644
47,5,4,4,0.602059991327962
47,7,43,43,1.63346845557959
47,8,11,11,1.04139268515822
47,9,272,272,2.4345689040342
47,10,4,4,0.602059991327962
47,11,43,43,1.63346845557959
47,14,1,1,0
47,15,21,21,1.32221929473392
47,19,11,11,1.04139268515822
47,24,2,2,0.301029995663981
48,-123,1,1,0
48,-122,65,65,1.81291335664286
48,-121,2,2,0.301029995663981
48,-114,1,1,0
48,-97,2,2,0.301029995663981
48,-89,2,2,0.301029995663981
48,-5,3,3,0.477121254719662
48,-2,1,1,0
48,8,52,52,1.7160033436348
48,9,29,29,1.46239799789896
48,10,6,6,0.778151250383644
48,11,14,14,1.14612803567824
48,12,189,189,2.27646180417324
48,13,5,5,0.698970004336019
48,14,26,26,1.41497334797082
48,15,1,1,0
48,16,101,101,2.00432137378264
48,17,14,14,1.14612803567824
48,19,21,21,1.32221929473392
48,107,2,2,0.301029995663981
49,-123,94,94,1.9731278535997
49,-122,4,4,0.602059991327962
49,1,3,3,0.477121254719662
49,2,287,287,2.45788189673399
49,3,1,1,0
49,6,3,3,0.477121254719662
49,7,2,2,0.301029995663981
49,8,57,57,1.75587485567249
49,9,61,61,1.78532983501077
49,11,13,13,1.11394335230684
49,12,5,5,0.698970004336019
49,13,14,14,1.14612803567824
49,21,13,13,1.11394335230684
50,-113,1,1,0
50,-105,1,1,0
50,-97,8,8,0.903089986991944
50,4,3,3,0.477121254719662
50,5,12,12,1.07918124604762
50,6,42,42,1.6232492903979
50,7,4,4,0.602059991327962
50,8,13,13,1.11394335230684
50,9,174,174,2.2405492482826
50,10,9,9,0.954242509439325
50,11,23,23,1.36172783601759
50,12,7,7,0.845098040014257
50,14,44,44,1.64345267648619
50,19,2,2,0.301029995663981
50,20,43,43,1.63346845557959
50,30,1,1,0
51,-114,20,20,1.30102999566398
51,-3,65,65,1.81291335664286
51,-2,5,5,0.698970004336019
51,-1,7,7,0.845098040014257
51,-0,26,26,1.41497334797082
51,1,32,32,1.50514997831991
51,3,34,34,1.53147891704226
51,4,112,112,2.04921802267018
51,5,60,60,1.77815125038364
51,6,77,77,1.88649072517248
51,7,334,334,2.52374646681156
51,8,8,8,0.903089986991944
51,9,9,9,0.954242509439325
51,10,10,10,1
51,11,3,3,0.477121254719662
51,12,26,26,1.41497334797082
51,13,4,4,0.602059991327962
51,17,1,1,0
51,71,5,5,0.698970004336019
52,-107,2,2,0.301029995663981
52,-4,2,2,0.301029995663981
52,-3,1,1,0
52,-2,25,25,1.39794000867204
52,-1,123,123,2.0899051114394
52,-0,369,369,2.56702636615906
52,4,22,22,1.34242268082221
52,5,545,545,2.73639650227664
52,6,17,17,1.23044892137827
52,7,4,4,0.602059991327962
52,8,38,38,1.57978359661681
52,9,17,17,1.23044892137827
52,10,57,57,1.75587485567249
52,11,7,7,0.845098040014257
52,12,8,8,0.903089986991944
52,13,18,18,1.25527250510331
52,17,2,2,0.301029995663981
52,19,4,4,0.602059991327962
52,21,28,28,1.44715803134222
53,-6,14,14,1.14612803567824
53,-2,2,2,0.301029995663981
53,-1,63,63,1.79934054945358
53,1,35,35,1.54406804435028
53,7,1,1,0
53,8,2,2,0.301029995663981
53,9,2,2,0.301029995663981
53,13,97,97,1.98677173426624
54,-114,8,8,0.903089986991944
54,-113,1,1,0
54,-2,1,1,0
54,-1,1,1,0
54,10,83,83,1.91907809237607
54,12,3,3,0.477121254719662
54,13,3,3,0.477121254719662
55,-113,1,1,0
55,-2,41,41,1.61278385671974
55,8,1,1,0
55,10,28,28,1.44715803134222
55,25,7,7,0.845098040014257
55,61,9,9,0.954242509439325
56,-4,27,27,1.43136376415899
56,-3,17,17,1.23044892137827
56,10,89,89,1.94939000664491
56,13,120,120,2.07918124604762
56,16,3,3,0.477121254719662
56,37,27,27,1.43136376415899
56,38,37,37,1.56820172406699
57,10,7,7,0.845098040014257
57,16,3,3,0.477121254719662
57,61,1,1,0
58,12,2,2,0.301029995663981
58,14,1,1,0
59,6,15,15,1.17609125905568
59,18,93,93,1.96848294855394
60,5,57,57,1.75587485567249
60,11,131,131,2.11727129565576
60,17,1,1,0
60,18,8,8,0.903089986991944
60,22,4,4,0.602059991327962
60,25,52,52,1.7160033436348
60,30,2,2,0.301029995663981
61,-150,6,6,0.778151250383644
61,12,2,2,0.301029995663981
61,24,2,2,0.301029995663981
61,28,1,1,0
62,17,2,2,0.301029995663981
63,7,2,2,0.301029995663981
63,10,7,7,0.845098040014257
63,22,2,2,0.301029995663981
63,28,1,1,0
65,25,6,6,0.778151250383644
67,15,1,1,0
70,19,1,1,0
